--------- beginning of main
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.056 16573 16618 I Unity   : DeNelle.Core.State.GameStateService:Load()
08-30 09:45:07.056 16573 16618 I Unity   : DeNelle.Core.State.GameStateService:Awake()
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.056 16573 16618 I Unity   : 
08-30 09:45:07.056 16573 16618 I Unity   : [Flow:Save] <- Load (PlayerPrefs -> migrate -> validate -> apply) (71.5ms)
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.056 16573 16618 I Unity   : DeNelle.Core.Diagnostics.FlowScope:Dispose()
08-30 09:45:07.056 16573 16618 I Unity   : DeNelle.Core.State.GameStateService:Load()
08-30 09:45:07.056 16573 16618 I Unity   : DeNelle.Core.State.GameStateService:Awake()
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.056 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.056 16573 16618 I Unity   : 
08-30 09:45:07.061 16573 16618 I Unity   : [EventTracker] Loaded 5 queued event(s) from PlayerPrefs.
08-30 09:45:07.061 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.061 16573 16618 I Unity   : DeNelle.Core.Analytics.EventTracker:LoadQueueFromPrefs()
08-30 09:45:07.061 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.061 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.061 16573 16618 I Unity   : DeNelle.Core.Analytics.EventTracker:EnsureExists()
08-30 09:45:07.061 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.061 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.061 16573 16618 I Unity   : 
08-30 09:45:07.062 16573 16618 I Unity   : [SeekerBootstrap] device='Solana Mobile Inc. Seeker' platform=Android isSeeker=True -> tier='Seeker_High', vSyncCount=0, targetFrameRate=60.
08-30 09:45:07.062 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.062 16573 16618 I Unity   : DeNelle.Core.SeekerBootstrap:ApplyTier(String, String)
08-30 09:45:07.062 16573 16618 I Unity   : 
08-30 09:45:07.065 16573 16618 I Unity   : [WebTrace] Remote trace sink active (session=wt-94f0a5e53cfa, build=2026.08.30.347495).
08-30 09:45:07.065 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.065 16573 16618 I Unity   : DeNelle.Core.Diagnostics.Guard:Try(String, String, Action)
08-30 09:45:07.065 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.065 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.065 16573 16618 I Unity   : DeNelle.Core.Diagnostics.<>c:<Install>b__15_0()
08-30 09:45:07.065 16573 16618 I Unity   : DeNelle.Core.Diagnostics.Guard:Try(String, String, Action)
08-30 09:45:07.065 16573 16618 I Unity   : 
08-30 09:45:07.069 16573 16618 I Unity   : [Flow:Catalog] resolve 'Data/Canonical/pets.json' <- Resources (4336 chars)
08-30 09:45:07.069 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Core.LocalJsonCatalogSource:Read(String)
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:LoadCatalog()
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:EnsureLoaded()
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:Find(String)
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Pets.PetAcquisitionService:SyncSlotsFromState()
08-30 09:45:07.069 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.069 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.069 16573 16618 I Unity   : DeNelle.Pets.PetAcquisitionService:Bootstrap()
08-30 09:45:07.069 16573 16618 I Unity   : 
08-30 09:45:07.070 16573 16618 I Unity   : [Flow:CanonJson] Read('Data/Canonical/pets.json') via LocalJsonCatalogSource -> 4336 chars.
08-30 09:45:07.070 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:LoadCatalog()
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:EnsureLoaded()
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Pets.PetCatalog:Find(String)
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Pets.PetAcquisitionService:SyncSlotsFromState()
08-30 09:45:07.070 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.070 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.070 16573 16618 I Unity   : DeNelle.Pets.PetAcquisitionService:Bootstrap()
08-30 09:45:07.070 16573 16618 I Unity   : 
08-30 09:45:07.077 16573 16618 I Unity   : [Flow:PetAcquire] SyncSlotsFromState: no persisted slot map — restored starter 'ice-wolf' to slot 0 (legacy pre-v34 rebuild)
08-30 09:45:07.077 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.077 16573 16618 I Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
08-30 09:45:07.077 16573 16618 I Unity   : UnityEngine.GameObject:AddComponent()
08-30 09:45:07.077 16573 16618 I Unity   : DeNelle.Pets.PetAcquisitionService:Bootstrap()
08-30 09:45:07.077 16573 16618 I Unity   : 
08-30 09:45:07.081 16573 16618 I Unity   : [Flow:Obsidian] job effect registered for kind 'BarracksUpgrade'.
08-30 09:45:07.081 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Core.Jobs.JobEffectRegistry:Register(IJobEffect)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Village.BarracksService:RegisterEffects()
08-30 09:45:07.081 16573 16618 I Unity   : 
08-30 09:45:07.081 16573 16618 I Unity   : [Flow:Obsidian] job effect registered for kind 'TroopUpgrade'.
08-30 09:45:07.081 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Core.Jobs.JobEffectRegistry:Register(IJobEffect)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Village.BarracksService:RegisterEffects()
08-30 09:45:07.081 16573 16618 I Unity   : 
08-30 09:45:07.081 16573 16618 I Unity   : [Flow:Obsidian] job effect registered for kind 'TrainTroop'.
08-30 09:45:07.081 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Core.Jobs.JobEffectRegistry:Register(IJobEffect)
08-30 09:45:07.081 16573 16618 I Unity   : DeNelle.Village.BarracksService:RegisterEffects()
08-30 09:45:07.081 16573 16618 I Unity   : 
08-30 09:45:07.081 16573 16618 I Unity   : [Flow:Barracks] WO-771.9 job effects registered (BarracksUpgrade/TroopUpgrade/TrainTroop).
08-30 09:45:07.081 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.081 16573 16618 I Unity   : 
08-30 09:45:07.082 16573 16618 I Unity   : [Flow:Catalog] resolve 'Data/Canonical/build-categories.json' <- Resources (7433 chars)
08-30 09:45:07.082 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Core.LocalJsonCatalogSource:Read(String)
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Village.BuildCategoryRegistry:LoadFromJson()
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Village.BuildCategoryRegistry:Register()
08-30 09:45:07.082 16573 16618 I Unity   : 
08-30 09:45:07.082 16573 16618 I Unity   : [Flow:CanonJson] Read('Data/Canonical/build-categories.json') via LocalJsonCatalogSource -> 7433 chars.
08-30 09:45:07.082 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Core.CanonicalJson:Read(String)
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Village.BuildCategoryRegistry:LoadFromJson()
08-30 09:45:07.082 16573 16618 I Unity   : DeNelle.Village.BuildCategoryRegistry:Register()
08-30 09:45:07.082 16573 16618 I Unity   : 
08-30 09:45:07.091 16573 16618 I Unity   : [BuildCategoryRegistry] Loaded 5 build categorie(s) from build-categories.json — data-driven build verb is live.
08-30 09:45:07.091 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.091 16573 16618 I Unity   : DeNelle.Village.BuildCategoryRegistry:Register()
08-30 09:45:07.091 16573 16618 I Unity   : 
08-30 09:45:07.092 16573 16618 I Unity   : [Flow:Obsidian] job effect registered for kind 'BuildingResearch'.
08-30 09:45:07.092 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.092 16573 16618 I Unity   : DeNelle.Core.Jobs.JobEffectRegistry:Register(IJobEffect)
08-30 09:45:07.092 16573 16618 I Unity   : DeNelle.Village.Buildings.Progression.BuildingPerkService:RegisterEffects()
08-30 09:45:07.092 16573 16618 I Unity   : 
08-30 09:45:07.092 16573 16618 I Unity   : [Flow:Research] BuildingResearch job effect registered (timed WC3 perk research).
08-30 09:45:07.092 16573 16618 I Unity   : UnityEngine.DebugLogHandler:Internal_Log(LogType, LogOption, String, Object)
08-30 09:45:07.092 16573 16618 I Unity   : 
